date,USD
20160807,4.0425
20161107,3.9855
20161207,4.0015
20160713,3.9865
20160714,3.9595
20160715,3.9585
20160718,3.9785
20160719,3.9865
20160720,4.02
20160721,4.0505
20160722,4.071
20160725,4.0815
20160726,4.076
20160727,4.0765
20160728,4.054
20160729,4.0535
20160108,4.0325
20160208,4.052
20160308,4.0585
20160408,4.0475
20160508,4.038
20160808,4.043
20160908,4.0325
20161008,3.9965
20161108,4.0195
20161208,4.0105
20160815,4.0215
20160816,3.9955
20160817,4.0
20160818,3.9945
20160819,4.011
20160822,4.034
20160823,4.0295
20160824,4.036
20160825,4.0325
20160826,4.0205
20160829,4.037
20160830,4.0495
20160109,4.0765
20160209,4.0845
20160509,4.0745
20160609,4.0795
20160709,4.061
20160809,4.059
20160909,4.0625
20160913,4.104
20160914,4.1305
20160915,4.1285
20160919,4.1315
20160920,4.144
20160921,4.1505
20160922,4.115
20160923,4.1205
20160926,4.133
20160927,4.1185
20160928,4.1405
20160929,4.114
20160930,4.1455
20160410,4.125
20160510,4.1415
20160610,4.1335
20160710,4.1535
20161010,4.1475
20161110,4.155
20161210,4.183
20161013,4.208
20161014,4.2125
20161017,4.2195
20161018,4.2105
20161019,4.19
20161020,4.1785
20161021,4.1925
20161024,4.1823
20161025,4.175
20161026,4.1605
20161027,4.1825
20161028,4.197
20161031,4.204
20160111,4.1885
20160211,4.196
20160311,4.187
20160411,4.1965
20160711,4.2095
20160811,4.206
20160911,4.22
20161011,4.2515
20161111,4.2775
20161114,4.33
20161115,4.3355
20161116,4.3485
20161117,4.3885
20161118,4.412
20161121,4.4315
20161122,4.426
20161123,4.4445
20161124,4.4635
20161125,4.465
20161128,4.461
20161129,4.463
20161130,4.466
20160112,4.468
20160212,4.448
20160512,4.4495
20160612,4.444
20160712,4.436
20160812,4.429
20160912,4.4245
20161213,4.4245
20161214,4.4425
20161215,4.4645
20161216,4.4755
20161219,4.4795
20161220,4.4795
20161221,4.4795
20161222,4.4745
20161223,4.4795
20161227,4.4785
20161228,4.4815
20161229,4.4845
20161230,4.486
20170301,4.4925
20170401,4.4995
20170501,4.4875
20170601,4.4725
20170901,4.4785
20171001,4.4745
20171101,4.475
20171201,4.4625
20170113,4.4635
20170116,4.466
20170117,4.467
20170118,4.4455
20170119,4.4515
20170120,4.447
20170123,4.44
20170124,4.435
20170125,4.4385
20170126,4.4355
20170127,4.4295
20170131,4.4295
20170202,4.438
20170302,4.4255
20170602,4.4225
20170702,4.436
20170802,4.44
20171002,4.4455
20170213,4.4485
20170214,4.4495
20170215,4.45
20170216,4.457
20170217,4.458
20170220,4.4575
20170221,4.4595
20170222,4.457
20170223,4.45
20170224,4.446
20170227,4.443
20170228,4.445
20170103,4.4475
20170203,4.45
20170303,4.4555
20170603,4.452
20170703,4.452
20170803,4.449
20170903,4.4595
20171003,4.4575
20170313,4.4465
20170314,4.448
20170315,4.451
20170316,4.438
20170317,4.442
20170320,4.4325
20170321,4.429
20170322,4.431
20170323,4.431
20170324,4.43
20170327,4.4145
20170328,4.4175
20170329,4.422
20170330,4.4225
20170331,4.4265
20170304,4.426
20170404,4.4315
20170504,4.4295
20170604,4.4365
20170704,4.4375
20171004,4.4395
20171104,4.4345
20171204,4.4325
20170413,4.4235
20170414,4.4025
20170417,4.404
20170418,4.4085
20170419,4.407
20170420,4.401
20170421,4.395
20170425,4.38
20170426,4.355
20170427,4.346
20170428,4.3475
20170205,4.3275
20170305,4.3145
20170405,4.323
20170505,4.3365
20170805,4.3335
20170905,4.3405
20171105,4.3515
20171205,4.348
20170515,4.3365
20170516,4.3135
20170517,4.3175
20170518,4.3275
20170519,4.329
20170522,4.307
20170523,4.298
20170524,4.302
20170525,4.2785
20170526,4.2775
20170529,4.2685
20170530,4.283
20170531,4.276
20170106,4.289
20170206,4.2815
20170506,4.2675
20170606,4.257
20170706,4.2715
20170806,4.263
20170906,4.267
20170613,4.2605
20170614,4.2615
20170615,4.254
20170616,4.2785
20170619,4.2695
20170620,4.2825
20170621,4.288
20170622,4.286
20170623,4.289
20170628,4.2975
20170629,4.296
20170630,4.294
20170307,4.298
20170407,4.298
20170507,4.297
20170607,4.2985
20170707,4.2985
20171007,4.2995
20171107,4.2965
20171207,4.2955
20170713,4.2885
20170714,4.2955
20170717,4.292
20170718,4.2875
20170719,4.285
20170720,4.2895
20170721,4.2905
20170724,4.2835
20170725,4.282
20170726,4.2855
20170727,4.2765
20170728,4.28
20170731,4.279
20170108,4.2775
20170208,4.287
20170308,4.2855
20170408,4.277
20170708,4.2805
20170808,4.2835
20170908,4.288
20171008,4.2945
20171108,4.2955
20170814,4.2915
20170815,4.294
20170816,4.2985
20170817,4.293
20170818,4.296
20170821,4.2885
20170822,4.2835
20170823,4.283
20170824,4.2785
20170825,4.2765
20170828,4.2655
20170829,4.2685
20170830,4.2695
20170509,4.2675
20170609,4.2465
20170709,4.2165
20170809,4.1845
20171109,4.1995
20171209,4.205
20170913,4.2035
20170914,4.1995
20170915,4.192
20170918,4.1855
20170919,4.1905
20170920,4.1935
20170921,4.201
20170925,4.193
20170926,4.204
20170927,4.2185
20170928,4.2315
20170929,4.2275
20170210,4.2305
20170310,4.24
20170410,4.2265
20170510,4.23
20170610,4.2365
20170910,4.232
